INFO  - 2016-02-25 16:19:56.525; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2016-02-25 16:19:56.530; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2016-02-25 16:19:56.591; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2016-02-25 16:19:56.599; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2016-02-25 16:19:56.688; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir C:\solr-4.9.1\example\solr\collection1\
INFO  - 2016-02-25 16:19:56.764; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2016-02-25 16:19:56.778; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at C:\solr-4.9.1\example\solr\collection1\, dataDir=C:\solr-4.9.1\example\solr\collection1\data\
INFO  - 2016-02-25 16:19:56.785; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2016-02-25 16:19:56.794; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2016-02-25 16:19:56.799; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2016-02-25 16:19:56.819; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\solr-4.9.1\example\solr\collection1\data
INFO  - 2016-02-25 16:19:56.825; org.apache.solr.core.SolrCore; New index directory detected: old=null new=C:\solr-4.9.1\example\solr\collection1\data\index/
WARN  - 2016-02-25 16:19:56.830; org.apache.solr.core.SolrCore; [collection1] Solr index directory 'C:\solr-4.9.1\example\solr\collection1\data\index' doesn't exist. Creating new index...
INFO  - 2016-02-25 16:19:56.847; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\solr-4.9.1\example\solr\collection1\data\index
INFO  - 2016-02-25 16:19:56.902; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@C:\solr-4.9.1\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@C:\solr-4.9.1\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2016-02-25 16:19:56.910; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2016-02-25 16:19:56.916; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2016-02-25 16:19:56.922; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2016-02-25 16:19:56.926; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2016-02-25 16:19:56.932; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2016-02-25 16:19:56.936; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2016-02-25 16:19:57.039; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2016-02-25 16:19:57.050; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2016-02-25 16:19:57.053; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2016-02-25 16:19:57.057; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2016-02-25 16:19:57.062; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2016-02-25 16:19:57.069; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2016-02-25 16:19:57.073; org.apache.solr.core.RequestHandlers; created /update/json: solr.UpdateRequestHandler
INFO  - 2016-02-25 16:19:57.125; org.apache.solr.core.RequestHandlers; created /update/csv: solr.UpdateRequestHandler
INFO  - 2016-02-25 16:19:57.131; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2016-02-25 16:19:57.140; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2016-02-25 16:19:57.149; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2016-02-25 16:19:57.160; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2016-02-25 16:19:57.168; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2016-02-25 16:19:57.181; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2016-02-25 16:19:57.190; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2016-02-25 16:19:57.203; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2016-02-25 16:19:57.223; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2016-02-25 16:19:57.239; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2016-02-25 16:19:57.242; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-02-25 16:19:57.246; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2016-02-25 16:19:57.261; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2016-02-25 16:19:57.264; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
